agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path
Interim Interactive Media Localization Agreement,https://www.sagaftra.org/sites/default/files/Interim%20Interactive%20Media%20Localization%20Agreement.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Interim%20Interactive%20Media%20Localization%20Agreement.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Interim%20Interactive%20Media%20Localization%20Agreement.md
2017 Music Video Agreement Memorandum,https://www.sagaftra.org/sites/default/files/2017%20Music%20Video%20Agreement%20MOA%20%28rev.%2005.01.18%29.pdf,Informational / Guide PDF,Music Videos,,https://www.sagaftra.org/production-center/contract/804/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2017%20Music%20Video%20Agreement%20MOA%20%28rev.%2005.01.18%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2017%20Music%20Video%20Agreement%20MOA%20%28rev.%2005.01.18%29.md
2012 Music Video Agreement,https://www.sagaftra.org/sites/default/files/independent_mv_agreement_0.pdf,"This is the master agreement for producers of music videos, detailing their responsibilities and acting as a standalone agreement for non-signatory companies.",Music Videos,,https://www.sagaftra.org/production-center/contract/804/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/independent_mv_agreement_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/independent_mv_agreement_0.md
2021-2026 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2021-2026%20Sound%20Recordings%20Code%20MOA.pdf,Informational / Guide PDF,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2021-2026%20Sound%20Recordings%20Code%20MOA.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2021-2026%20Sound%20Recordings%20Code%20MOA.md
Sound Recordings Code Appendix on Artificial Intelligence,https://www.sagaftra.org/sites/default/files/Sound%20Recordings%20Code%20Appendix%20on%20Artificial%20Intelligence.pdf,Informational / Guide PDF,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Sound%20Recordings%20Code%20Appendix%20on%20Artificial%20Intelligence.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Sound%20Recordings%20Code%20Appendix%20on%20Artificial%20Intelligence.md
2018-2020 Sound Recordings MOA,https://www.sagaftra.org/sites/default/files/2018-2020%20Sound%20Recordings%20MOA.pdf,Informational / Guide PDF,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2018-2020%20Sound%20Recordings%20MOA.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2018-2020%20Sound%20Recordings%20MOA.md
2015-2017 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2015-2017_sound_recordings_moa.pdf,This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement.,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2015-2017_sound_recordings_moa.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2015-2017_sound_recordings_moa.md
2010-2011 Sound Recordings Code Extension,https://www.sagaftra.org/sites/default/files/10-11_sr_extension_signed_0.pdf,This is an extension of our master Sound Recordings Agreement.,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/10-11_sr_extension_signed_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/10-11_sr_extension_signed_0.md
2012 Music Video Supplement to Sound Recordings Code,https://www.sagaftra.org/sites/default/files/mv_supplement_to_src_0.pdf,This is the supplement Music Video Agreement for signatories of the full Sound Recordings Code.,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/mv_supplement_to_src_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/mv_supplement_to_src_0.md
2012-2014 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2012_-_2014_sr_code_moa_0.pdf,This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement.,Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2012_-_2014_sr_code_moa_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2012_-_2014_sr_code_moa_0.md
