category,category_url,agreement_title,agreement_url
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,Sound Recordings Code Appendix on Artificial Intelligence,https://www.sagaftra.org/sites/default/files/Sound%20Recordings%20Code%20Appendix%20on%20Artificial%20Intelligence.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2018-2020 Sound Recordings MOA,https://www.sagaftra.org/sites/default/files/2018-2020%20Sound%20Recordings%20MOA.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2015-2017 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2015-2017_sound_recordings_moa.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2010-2011 Sound Recordings Code Extension,https://www.sagaftra.org/sites/default/files/10-11_sr_extension_signed_0.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2012 Music Video Supplement to Sound Recordings Code,https://www.sagaftra.org/sites/default/files/mv_supplement_to_src_0.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2012-2014 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2012_-_2014_sr_code_moa_0.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2007-2010 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/07-10_sound_recordings_moa_0.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2006-2007 Sound Recordings Code Extension,https://www.sagaftra.org/sites/default/files/06-07_sr_moa_0.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2002-2006 Sound Recordings Code,https://www.sagaftra.org/sites/default/files/2002-2006_aftra_national_code_of_fair_practice_for_sound_recordings.pdf
Television Contracts,https://www.sagaftra.org/production-center/contract/807/getting-started,,
Theatrical Contracts,https://www.sagaftra.org/production-center/contract/813/getting-started,Contract Rates and Digests,https://www.sagaftra.org/industry-resources/rates-agreements
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2023 Basic Cable Animation Agreement,https://www.sagaftra.org/sites/default/files/2023%20Basic%20Cable%20Animation%20Agreement.PDF
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2020 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2020%20MOA%20SAG-AFTRA%20Animation%20TV%20Agreement.pdf
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2020 Basic Cable Animation Agreement,https://www.sagaftra.org/sites/default/files/2020%20MOA%20SAG-AFTRA%20Animation%20Basic%20Cable.pdf
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2018 Basic Cable Animation Agreement,https://www.sagaftra.org/sites/default/files/2018%20MOA%20SAG-AFTRA%20MOA%20Basic%20Cable%20Animation.pdf
Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf
Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf
Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf
Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started,2014 Television Adherence Letter,https://www.sagaftra.org/sites/default/files/adherence_letter_television_2_4_1.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2024 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2024%20MOA%20National%20Code%20of%20Fair%20Practice%20for%20Network%20TV%20Broadcasting.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2021 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/Network%20Code%202021-24%20MOA%20FE.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,Memorandum of Agreement Theatrical-Television 2014,https://www.sagaftra.org/sites/default/files/memorandum_of_agreement_theatrical_television_2014_1_3_11.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2014-2018 SAG-AFTRA Network Code,https://www.sagaftra.org/sites/default/files/2014-2018_network_television_code_v13.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2018 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2018MOA-TV-National-Code_0.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2018-2022 National Public Television MOA,https://www.sagaftra.org/sites/default/files/2018-2022PublicTVMOAFE_0.pdf
Television,https://www.sagaftra.org/production-center/contract/810/getting-started,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2023 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2023%20Television%20Animation%20Agreement.PDF
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2020 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2020%20MOA%20SAG-AFTRA%20Animation%20TV%20Agreement.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2018 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2018%20SAG-AFTRA%20MOA%20TV%20Animation.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2014 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/television_animation_agreement_sag_aftra_1_45_0.pdf
Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2024 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2024%20MOA%20National%20Code%20of%20Fair%20Practice%20for%20Network%20TV%20Broadcasting.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
